duoarea,area-name,product,product-name,process,process-name,series,series-description,value,year,month,Cluster_Label
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.959,2023,10,69
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,2.011904761904762,2023,10,67
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.887,2023,10,65
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.842,2023,10,69
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.201,2023,10,60
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0307142857142857,2023,10,61
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.9359523809523809,2023,10,67
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.948,2023,10,63
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.227,2023,10,70
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.199,2023,10,64
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.995,2023,10,68
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.209,2023,10,62
